GWP100a,Activity,Product,Cutoff,Location,id
0.7251716781406278,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-SK , b7893045-6f52-4fc9-91dd-282e86cdf244
0.6096034641116507,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", NL , 8b2e009c-2bed-4916-bacd-e6d779373818
0.5119464142488811,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-TRE , df50a386-b17e-4d5b-94b3-e2b0b9a79a3d
1.1936034295381208,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-SD , 6630733c-fc6f-43c0-9b9f-e52aec706cb8
0.6754119945292262,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", TH , b735cfd8-8076-40f2-be7a-d38e1ed63dcb
0.23079040311198923,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-NPCC , 19822b22-8ff6-4924-baf9-17a9ce336189
0.36168336870793333,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", ES , 3a326b58-8262-4daa-9e53-0234de92bf3f
0.5737740735072652,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CL , 6461de51-f716-45c7-a53b-a0e0dc2dca58
1.1665674502808017,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IN-Southern grid , 92e7376f-8721-4743-947f-2b154868d9b3
0.02002813460046914,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-PE , e43682a9-383b-4a12-a3eb-8b3f30d59c63
0.02612090995402873,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", SE , 1e6ce893-5768-4781-9b93-140f0cdda964
0.043505445001458115,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IS , 27985b54-b014-44fb-bf0f-857078c7d747
0.9842507146729987,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CY , 2050d709-8ed7-465d-bcba-b1f90e3e6ad8
0.10608496418486509,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-YK , 37175718-a3d1-4d33-ac4d-3b096d0f6581
0.17406295345747536,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", LV , f4720e93-b30e-4a60-b062-cdd716528bd3
0.5991340841378595,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IR , 3f262b40-d8a0-43ca-9f54-60d3f972f057
0.052459388166031434,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", NORDEL , ecdfe396-18af-4af8-862d-18d13cba0e87
0.8682055576416888,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-CQ , 584a5cad-f8d0-4e03-a44b-d707439714a3
0.015345989862198548,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-QC , 856910b6-4a70-4477-909d-352b8415cf59
0.4170545288928098,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", RO , 0359c3ac-d97d-49da-8f90-fde638354329
0.0505810889666963,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-MB , ee8a1561-d103-4779-af8d-67c7bfcf6bb7
0.8537086622574852,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-HICC , eb18b40d-55a7-432f-a2f8-1061d8bee847
0.06793491059695538,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-ON , f8f57573-8e93-4192-8e00-44a2f92e0961
0.5156791187900069,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-ASCC , 85d58137-3189-49cf-b80d-d38a5ab404c3
1.2173242800052428,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-HB , fa158b29-e703-4962-9f42-ae1c47788a90
0.944630617939268,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-BJ , b07af76b-3547-4c9c-aaa8-5f1a54d6d6cb
0.48054858177431,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IT , 396054f1-c675-4321-bd07-b256f4068415
0.9352221223077424,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-NS , 2eb5fae0-21f9-4d44-87d5-3c66df0806a3
0.8600357810223113,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-GD , 06e80da3-7a79-464f-9721-15878c693043
0.25946346616751387,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", DK , 50ed8082-3346-47f3-a805-67aa1f0e80b0
0.6987789782326824,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", JP , f5db4582-6884-4910-8418-1f4a52065f71
0.9705764899972837,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-JX , 5ac497ca-281c-45b0-8d90-a88ca7bb8694
0.5705281323151362,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-SERC , a74c6926-1373-4cb1-9d3f-e68b090686ed
1.1277356304627448,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-XJ , a2b35d20-8451-47ff-aaf5-bd618bd88213
1.4836131979064955,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IN-Eastern grid , 9badb825-44f2-422a-8b4e-28277f6e1e87
1.022670101606302,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-AH , efccbea2-5665-46f6-9d95-d2a82db1e768
0.48627169683533567,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", UA , 72b0e5ea-2f65-45d9-a678-6db554d59a62
1.043861896030598,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", ZA , 45b3a5ca-e3ef-4df4-8af7-06126b7e62ec
0.5244836573895402,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", MX , 8934eec2-6daa-4a79-bc2e-1d4f1a702705
0.18651118817408616,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", BE , ce738f34-2a6c-470e-97ae-b52ea63f46c3
1.0158726065852175,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-HA , 6d88dc7c-475b-4256-a49e-71c7b2ac94e8
0.8468497307351099,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CENTREL , 76d01f8f-0488-43c5-baa0-32e9dbc963ad
0.40732563605145605,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-WECC , e39484ae-90fe-4fee-9ca8-48ab20fe3e61
0.17605292412189633,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", LT , df6e6dc1-915c-461b-97d7-5ae383f2ce4c
0.08115749888414919,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-NF , 543fcdc4-2726-4e20-8a02-7db6454fbcc5
0.10661971986379769,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CH , 6b2ea68a-b118-4403-9678-173303336d8e
0.6592018410358823,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", RU , 6174b6a8-2161-48e5-a59a-f9d77b6f8874
0.3213721096425605,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", GB , 0b828b7a-cd4d-4727-a8f4-c380f1eb421c
1.0585178361632832,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-NU , ee65fc71-ca59-4294-8bd1-3aecea9bee06
0.29141244381400966,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", HR , a2b174fe-7852-4e74-a9b0-ca3e6cdf7aa1
1.0212631475753575,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-JS , 7a7f68fe-2488-44ab-af59-a760e1ba63cf
0.47978929792928227,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-HU , a13bea17-2000-438c-903b-e7b9c46eaf5a
1.0671496226415056,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IN-Northern grid , ab7e6be3-32fd-4f1b-892a-6ac1feb36741
1.013676802917925,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-SGCC , 2cb56cdd-81fb-47ef-9e37-bd47e5df0d95
0.3936194508842482,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", HU , 4419cfe4-563c-4317-8397-c925fcc1e2d1
0.7450186274064113,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-GS , e69a8986-310e-431f-ac15-aa0e7184d937
0.47117533785125626,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", PT , 7cf4d12e-4c8b-4df5-b819-26fd76dc4d40
0.4367970825070446,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IE , 760ff859-2628-442b-a04b-c8e8b68374e5
0.3828806585635573,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-NT , f91a6e08-4485-4de2-aac5-ca82b2b25779
0.3769317107904528,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", SI , 62a1e5de-6c6d-44ac-916e-6641df471765
0.5572855113949409,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", TR , 20378d43-b0f9-4074-a44b-886bacad42e7
1.5613761703334101,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-NM , 3542a9ba-1eff-449b-b312-4241a81da1c8
0.9573280973588297,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", SA , 56fe120d-b6a6-4c03-8aa5-24ebc26d6207
0.7751988372381096,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", MY , 29b0fa14-b16c-4352-be7f-441485a46760
0.1529669654051253,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", AT , 72a9bd5c-7e6a-4b7f-8d1d-4e26b0691e07
1.2208405370435575,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-HE , aa5029ef-ae5b-41f3-8eea-c3f4b90b473e
0.20129997967039628,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", PE , 0b2e78cf-6d1f-4159-a453-963255c99583
0.8341318863946907,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-ZJ , 5c2257a2-c1ca-42a6-8311-a4f401f95ecc
0.20965824070272004,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", FI , a80a9c9b-9416-42e4-9c55-f3ba8615eb69
0.6658790829265218,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-GX , 7f15b16a-575a-4567-95ef-65d4662bb277
0.8094521536564832,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-AB , fded1b11-9acf-4b72-a9c2-b33cb70d3c1a
0.794822406765429,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-FJ , 5c96e9b5-b7dd-4cdf-a29c-93287453a0a2
0.30612096316401044,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-QH , 66cd7d13-d09f-45a5-b8f7-f9ff6bf30375
1.0746886782866116,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-TJ , 86f8bc9f-7208-4f96-9fc2-e570f067fe13
0.7616313897880997,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", TW , 61f35060-3b68-4048-8b8b-dd149912ddae
1.2700765040361015,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-LN , c31d8478-edf4-4e63-9993-5f0ca4de2896
0.7694764707386602,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-HN , bae941ed-2534-447a-8112-46c4520bd4db
0.04963920703987015,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-BC , 906dd93d-0210-4541-9325-993307d8aafe
1.3048627850065504,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-SX , 01efa7b6-69fa-4f6d-98dc-a1ed28d0908a
0.45919387887308577,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-YN , 9dae1b71-b43e-43e8-86f2-f4a9812037ce
1.0910972119263673,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-SA , fbc8f398-a9dd-4071-84ff-8c7f3794ed79
0.6593208176532608,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-CSG , 140dc4d9-6cbb-4b77-9f2c-b9ac2bd5079d
0.5842763545693828,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", DE , 059af72b-8ce6-4da0-963b-03e75f2375f7
0.6546828969882875,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-MRO , 715d2d31-ff81-48fb-8d5d-fb1629878ef6
0.9664570951629639,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", BA , 80096641-63c3-4a14-be26-f27e69986ead
0.5643440313932118,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-RFC , c865e21c-b149-4b72-a892-1f14d8eefe37
0.09054902043414229,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", FR , 325cbf95-03f1-4717-9de9-16bf7b3fac0e
0.6021470954892094,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", BG , 2c05dae2-1cad-4075-ba9c-4680cb8500e6
1.0699568015568057,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", ID , 194e1e8e-defb-4b1e-87a8-dfb417fd48a6
1.338382303697062,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IN-Western grid , 168a9887-127a-428f-b299-9993d04d18a5
0.6699469667890252,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", KR , 0cc423d1-918d-41c4-853b-79a542b607aa
0.23850754212695158,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-XZ , 4709321e-7c41-4aae-9c6c-60e808c827c5
1.3951905649480427,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-HL , 9584c100-61d0-4302-9de8-d640169425a4
0.5753109325737127,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", LU , 7f6ebf48-3411-4021-aac1-5036ac6776f6
0.9849048666066361,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", EE , a8fb016e-99a5-4e55-9677-1e9664fbb8fa
0.48809391680748754,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", MT , 6cf72f29-36a9-43d0-98a0-fc0583c0dd87
0.8703603306642249,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CZ , fc4b7628-fb2a-4a97-b177-f11513c2ed83
0.5863513651555826,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", TZ , cb5975eb-71e9-40e7-8ecd-b7400112b5da
0.7843382053137784,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-GZ , 7ce8affe-60a9-479f-a59d-19c3855ca7c1
1.360469547647518,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-JL , 2bb67112-6fab-47bf-ba0c-7e408da59115
0.9495529972999982,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", RS , d40e301b-4667-4670-aabf-8b3d9ae4365d
0.8323634929266,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", GR , d1bf635d-55c1-49fa-bd64-686b6640865b
0.8610167782254485,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-SH , 812b9c0b-6fd4-46a8-9e22-90c14b18df15
0.4383203827455651,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CA-NB , c8d60938-77b9-4581-a7c3-e0766240ed33
0.20257823376813,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", BR , f5d608f5-5cda-4e4c-92c1-8c2de07dee5d
0.6113330049358887,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", IN-North-eastern grid , 4c309cee-6b45-4ad1-8857-d5b73e643838
0.9623850860749517,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", MK , 07bf972b-f936-493d-b191-782010094184
0.9945042935165347,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", PL , 5b0899f8-c598-4a7a-b264-8cc833f75336
1.2723467205559944,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-NX , 4bf76b35-f867-4f10-8ba9-bff38a3a6303
0.28577663438094486,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", CN-SC , 8dc82ca5-6c49-4df8-912a-d6a5ec9936b8
0.9377213365775495,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", AU , b132839b-a6cf-4375-94db-66c877946cf3
0.48347400565398835,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", US-FRCC , cd819970-6e8c-4713-ab4a-8b8b240e36cb
0.22543679485375545,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", SK , 8b55a7d4-3565-40b9-bea6-221783bb1413
0.00894664944556972,"electricity, high voltage, production mix "," electricity, high voltage "," Cutoff, U ", NO , 04622caa-7cdf-4ba1-8bd9-4dce9d2e181b
